id	region	smearregion	country	eligm	eligf	participm	participf	nonparticipm	nonparticipf	partratio	bactym	bactyf	bactynegm	bactynegf	negbactyrank	smearm	smearf	smearnegm	smearnegf	smearrank	notm	notf	popm	popf	notnegm	notnegf	afr	amr	emr	sear	wpr	national	startyear	tbprev	hivprev	hivintb	lowrisk	symptomonly	smearonly	malepart	logmfpn	selogmfpn	varlogmfpn	bactym15	bactyf15	partm15	partf15	bactym25	bactyf25	partm25	partf25	bactym35	bactyf35	partm35	partf35	bactym45	bactyf45	partm45	partf45	bactym55	bactyf55	partm55	partf55
"India, 2008-2010 (b)"	1-SEAR	1-SEAR	India	36406	35468	29763	33599	6643	1869	0.86	93	17	29670	33582	-6.18						 76 415	 51 240	424 593 509	401 761 848	424 517 094	401 710 608	0	0	0	1	0	0	2008	0	0	0	0	0	0	1																							
"Bangladesh, 2001 (b)"	1-SEAR	1-SEAR	Bangladesh			25453	33942				42	10	25411	33932	-5.6	42	10	25411	33932	1	 3 640	 3 029	44 375 859	41 278 870	44 372 219	41 275 841	0	0	0	1	0	0	2001	1	0	0	0	1			0.40560003	0.344526859	0.118698757																				
"India, 1999-2001"	1-SEAR	1-SEAR	India	46691	45492	40855	42535	5836	2957	0.94	430	86	40425	42449	-5.21	235	45	40620	42490	2	 9 931	 7 122	353 853 922	331 809 001	353 843 991	331 801 879	0	0	0	1	0	0	1999	1	0	0	1	0	1	0	0.39866921	0.161790975	0.02617632	18	5	10936	11152	42	17	9844	10187	76	17	7807	7838	99	9	5705	5764	190	33	6563	7594
"India, 2006-2008"	1-SEAR	1-SEAR	India			44996	47259				276	56	44720	47203	-5.18	127	28	44869	47231	3	 68 304	 47 709	408 904 714	386 354 946	408 836 410	386 307 237	0	0	0	1	0	0	2006	1	0	0	0	0	0		0.331913067	0.207092908	0.042887473																				
"Viet Nam, 2006-2007"	2-WPR	2-WPR	Viet Nam			42663	51516				212	57	42451	51459	-4.49	142	32	42521	51484	16	 3 585	 1 787	30 124 567	31 989 749	30 120 982	31 987 962	0	0	0	0	1	1	2006	0	0	0	1	0	0		0.260175594	0.194277955	0.037743924																				
"India, 2004-2006"	1-SEAR	1-SEAR	India			43477	45936				204	49	43273	45887	-4.4	109	27	43368	45909	4	 55 693	 40 221	393 155 239	370 802 125	393 099 546	370 761 904	0	0	0	1	0	0	2004	1	0	0	0	0			0.291929309	0.213193073	0.045451286																				
"India, 2001-2003"	1-SEAR	1-SEAR	India			41607	43867				276	68	41331	43799	-4.28	165	31	41442	43836	5	 27 790	 19 680	369 474 119	347 284 494	369 446 329	347 264 814	0	0	0	1	0	0	2001	1	0	0	0	0	0		0.414824899	0.19427171	0.037741497																				
"India, 2010-2012"	1-SEAR	1-SEAR	India	30250	29707	26943	28674	3307	1033	0.92	135	35	26808	28639	-4.1	91	20	26852	28654	6	 78 184	 53 106	440 239 587	417 046 835	440 161 403	416 993 729	0	0	0	1	0	0	2010	0	0	0	0	0	0	0	0.342522629	0.24420782	0.059637459																				
"Rwanda, 2012"	3-AFR	3-AFR	Rwanda	19245	25813	18514	25265	731	548	0.98	39	13	18475	25252	-4.09	26	6	18488	25259	24	 2 340	 1 169	3 099 694	3 367 026	3 097 354	3 365 857	1	0	0	0	0	1	2012	0	0	1	1	0	0	0	0.434512147	0.437593886	0.191488409																				
"India, unknown year"	1-SEAR	1-SEAR	India	2691	2309	2691	2309	0	0	1	8	2	2683	2307	-3.43	8	2	2683	2307	7							0	0	0	1	0	0					0	1	0	0				4	2	1096	918	2	3	657	492	4	1	370	360	4	1	375	345	2	2	193	194
"India, 2009-2010"	1-SEAR	1-SEAR	India	51499	48419	48105	46966	3394	1453	0.96	170	51	47935	46915	-3.25	115	33	47990	46933	8	 77 649	 51 715	428 511 558	405 600 860	428 433 909	405 549 145	0	0	0	1	0	0	2009	0	0	0	1	0	1	0	0.184072139	0.196129231	0.038466675																				
"Bangladesh, 2007-2009"	1-SEAR	1-SEAR	Bangladesh	31158	32557	24203	27895	6955	4662	0.91	24	9	24179	27886	-3.07	24	9	24179	27886	9	 10 255	 8 638	50 692 289	48 858 009	50 682 034	48 849 371	0	0	0	1	0	1	2007	1	0	0	0	0	1	0	0.188350866	0.382102497	0.146002318																				
"Myanmar, 1994-1995"	1-SEAR	1-SEAR	Myanmar			11269	13909				27	11	11242	13898	-3.03	27	11	11242	13898	10			13 995 827	14 970 918			0	0	0	1	0	1	1994	1	0	0	1	1	0																								
"China, unknown year"	2-WPR	2-WPR	China			4613	4692				75	26	4538	4666	-2.93												0	0	0	0	1	0						0	1																								
